Comment,Designator,Footprint,LCSC
1uf,C25,C_0402_1005Metric,
0.1uf,C26,C_0402_1005Metric,
2.2uf,C17,C_0402_1005Metric,
AMS1117-3.3,U1,SOT-223-3_TabPin2,
1uf,C10,C_0402_1005Metric,
Antenna_Shield,AE1,Texas_SWRA117D_2.4GHz_Left,
TBD,C8,C_0402_1005Metric,
TBD,C7,C_0402_1005Metric,
40MHz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,
0.1uf,C3,C_0402_1005Metric,
10pf,C9,C_0402_1005Metric,
10pf,C11,C_0402_1005Metric,
USB_C_Receptacle_USB2.0,J2,USB_C_Receptacle_HRO_TYPE-C-31-M-12,
TBD,L1,L_0402_1005Metric,
ESP32-S3,U2,QFN-56-1EP_7x7mm_P0.4mm_EP5.6x5.6mm,
10uf,C2,C_0603_1608Metric,
TFT_LCD,J1,TE_0-1734839-8_1x08-1MP_P0.5mm_Horizontal,
10k,R1,R_0402_1005Metric,
0.1uf,C5,C_0402_1005Metric,
Microphone_MEMS,MK1,MEMS_MIC_2.75x1.85x0.9mm,
0.1uf,C6,C_0402_1005Metric,
10uf,C4,C_0603_1608Metric,
1uf,C14,C_0402_1005Metric,
2.2uf,C21,C_0402_1005Metric,
TestPoint,TP8,TestPoint_Pad_D1.0mm,
TestPoint,TP7,TestPoint_Pad_D1.0mm,
TestPoint,TP3,TestPoint_Pad_D1.0mm,
0Î©,R4,R_0402_1005Metric,
TestPoint,TP4,TestPoint_Pad_D1.0mm,
2.2uf,C19,C_0402_1005Metric,
WM8978,U3,QFN-32-1EP_5x5mm_P0.5mm_EP3.3x3.3mm,
2.2uf,C23,C_0402_1005Metric,
1uf,C13,C_0402_1005Metric,
5.1k,R2,R_0402_1005Metric,
2.2uf,C20,C_0402_1005Metric,
TestPoint,TP6,TestPoint_Pad_D1.0mm,
TestPoint,TP5,TestPoint_Pad_D1.0mm,
1uf,C15,C_0402_1005Metric,
1uf,C16,C_0402_1005Metric,
10uf,C1,C_0603_1608Metric,
10pf,C12,C_0402_1005Metric,
2.2uf,C22,C_0402_1005Metric,
MPU-6050,U4,InvenSense_QFN-24_4x4mm_P0.5mm,
TestPoint,TP1,TestPoint_Pad_D1.0mm,
5.1k,R3,R_0402_1005Metric,
TestPoint,TP2,TestPoint_Pad_D1.0mm,
1uf,C24,C_0402_1005Metric,
1uf,C18,C_0402_1005Metric,
